"Playlist URL","https://www.youtube.com/playlist?list=PLeN3gXHbQPwoszwUstPh4b9L0jsy_rSsr"
"Playlist title","Musica :D"
"Playlist author","malperder"
"Videos","119"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL"
"6agp_W-rqgQ","Nicky Romero & NERVO - Like Home (Official Music Video)","Nicky Romero","2013-04-09","2013-02-21","https://i.ytimg.com/vi/6agp_W-rqgQ/hqdefault.jpg"
"Viqt22oj2ps","Marsal Ventura & Submission DJ - Stay With Me (Albert Kick Remix)","Vic Martinez","2013-04-10","2012-10-12","https://i.ytimg.com/vi/Viqt22oj2ps/hqdefault.jpg"
"PVzljDmoPVs","David Guetta - She Wolf (Falling To Pieces) ft. Sia (Official Video)","David Guetta","2013-04-10","2012-09-28","https://i.ytimg.com/vi/PVzljDmoPVs/hqdefault.jpg"
"tdjFs8IB9I4","Kill The Noise, Brillz and Minxx - Saturn","UKF","2013-04-13","2012-10-31","https://i.ytimg.com/vi/tdjFs8IB9I4/hqdefault.jpg"
"KPJ9tdL1CPs","PRISONERS de Carlos Jean con DJ Nano y Ferrara: Videoclip Oficial COMBUSTIÓN | Sony Pictures España","Sony Pictures España","2013-04-19","2013-04-15","https://i.ytimg.com/vi/KPJ9tdL1CPs/hqdefault.jpg"
"KPJ9tdL1CPs","PRISONERS de Carlos Jean con DJ Nano y Ferrara: Videoclip Oficial COMBUSTIÓN | Sony Pictures España","Sony Pictures España","2013-04-19","2013-04-15","https://i.ytimg.com/vi/KPJ9tdL1CPs/hqdefault.jpg"
"cHcVU5cGUNE","Italobrothers - Stamp On The Ground (Official Video HD)","Zooland.TV","2013-04-28","2009-06-14","https://i.ytimg.com/vi/cHcVU5cGUNE/hqdefault.jpg"
"jU_H6M4tvPw","ItaloBrothers - Radio Hardcore (Official Video) - PUNCH 001","punchdotdj","2013-04-28","2010-12-09","https://i.ytimg.com/vi/jU_H6M4tvPw/hqdefault.jpg"
"NADlpegWtHo","The Impossible Game OST Level 1,2,3 and 4 Music","megamortalkombat1","2013-05-31","2012-07-05","https://i.ytimg.com/vi/NADlpegWtHo/hqdefault.jpg"
"9G1I16gJBvU","Sebastian Ingrosso, Alesso - Calling (Lose My Mind) ft. Ryan Tedder","IngrossoAlessoVEVO","2013-06-01","2012-05-08","https://i.ytimg.com/vi/9G1I16gJBvU/hqdefault.jpg"
"ysSxxIqKNN0","New Divide (Official Music Video) [4K Upgrade] - Linkin Park","Linkin Park","2013-06-01","2009-06-15","https://i.ytimg.com/vi/ysSxxIqKNN0/hqdefault.jpg"
"n6Q7vqAqGac","DATCAT & Different Heaven - How God Was Born","Different Heaven","2013-06-03","2013-06-03","https://i.ytimg.com/vi/n6Q7vqAqGac/hqdefault.jpg"
"7pE8ReA5cn4","Sum 41 - The Hell Song (Official Music Video)","Sum41VEVO","2013-06-19","2009-06-16","https://i.ytimg.com/vi/7pE8ReA5cn4/hqdefault.jpg"
"8tca-A37sww","Televisor - Old Skool (Different Heaven Remix)","Different Heaven","2013-06-30","2013-06-25","https://i.ytimg.com/vi/8tca-A37sww/hqdefault.jpg"
"1y6smkh6c-0","Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)","SHMVEVO","2013-06-30","2012-09-14","https://i.ytimg.com/vi/1y6smkh6c-0/hqdefault.jpg"
"xHRkHFxD-xY","Macklemore & Ryan Lewis - Can't Hold Us","OneKindMedia","2013-06-30","2011-08-16","https://i.ytimg.com/vi/xHRkHFxD-xY/hqdefault.jpg"
