Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
73ZTxlG3t79x4EY9EVGgPk,6I63R76ouyFvUIwPggQxxT,Coti x Coti,Èpic Solete,The Tyets,2023-03-03,147726,54,orioldera10,2023-03-15T13:07:00Z
4qJZJa2u1eVtGUdtNMzWDx,3jU5LKRsimuyZjA0lSkdPp,SONIC,SONIC,Mushkaa,2022-02-03,152258,30,orioldera10,2023-03-12T11:50:00Z
1wjJAveP3ZJDTQmNZbshs5,3hi1Ewhqpzl1jO2GemGmv6,Somni,Suposo que l'amor és això,Ginestà,2022-02-04,250453,23,orioldera10,2023-03-12T11:52:33Z
5oDM9SnICPNXHkVAoPfvLx,"3jU5LKRsimuyZjA0lSkdPp,25rfSQptHe18iy1f4TYR7A",BLESSINGS,BLESSINGS,"Mushkaa,roots",2022-09-03,163000,31,orioldera10,2023-03-12T11:50:24Z
1KoM5GTuiZMAbdWY7hkdoi,6I63R76ouyFvUIwPggQxxT,Bailoteo,Èpic Solete,The Tyets,2023-03-03,180092,52,orioldera10,2023-08-13T12:05:55Z
1xxJOsGzjysfZR48yAKmGG,"2enhM5DK9oTxWiCVpFIDv3,6I63R76ouyFvUIwPggQxxT,7DzqOghrDEW0vlJxZXaeLj",Xuculatina - Remix,Xuculatina (Remix),"Figa Flawas,The Tyets,Julieta",2022-08-12,193250,0,orioldera10,2023-03-12T11:50:44Z
4aVgQWqtTABaQivZBBGSf2,"3HDuiwI8hjGt0iPK77EmD7,6I63R76ouyFvUIwPggQxxT",EL PATINETE,Sueños En Ali Bei,"Martigo,The Tyets",2023-01-25,195692,7,orioldera10,2023-03-12T11:53:45Z
5nA3lkvpP3wTPbIuv5dwsJ,68CQGYnlJfrMyRcd255jVW,Road Trip,Road Trip,Triquell,2022-10-21,230591,25,orioldera10,2023-03-12T12:02:18Z
3Rch2FyIqqoyNKfFO7mB83,"7DzqOghrDEW0vlJxZXaeLj,2enhM5DK9oTxWiCVpFIDv3",SECR3T,SECR3T,"Julieta,Figa Flawas",2022-11-07,138857,46,orioldera10,2023-03-12T11:51:03Z
3GboiOxbJD3Y0uKmfjF4Ip,"6I63R76ouyFvUIwPggQxxT,7DzqOghrDEW0vlJxZXaeLj",Clar que t’he trobat a faltar,Èpic Solete,"The Tyets,Julieta",2023-03-03,208870,46,orioldera10,2023-03-12T16:58:07Z
